자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.10.25.00,19,5,3,8,15,16,20,23,15,19,24,10,6,7,14,21,31,13,24,12,25,23,17,33,16
2021.10.24.00,19,8,15,18,15,22,12,22,16,14,13,12,9,9,10,21,41,26,30,16,28,21,23,38,32
2021.10.23.00,13,14,12,6,12,24,11,27,18,8,26,16,14,15,9,31,55,40,34,16,13,19,36,13,37
2021.10.22.00,15,6,9,14,10,30,24,21,11,11,23,21,10,12,14,21,36,14,32,29,22,15,32,24,26
2021.10.21.00,19,15,6,8,13,22,14,21,15,13,27,21,14,7,24,14,42,14,34,28,30,17,22,23,13
2021.10.20.00,13,9,8,13,13,20,20,17,17,10,22,18,16,23,13,18,60,14,39,24,22,11,20,19,21
2021.10.19.00,9,2,10,6,9,12,15,13,9,7,18,9,3,7,9,16,24,14,10,22,9,4,19,13,16
2021.10.18.00,13,4,8,13,8,10,13,25,9,10,10,9,7,6,5,13,39,18,23,12,16,5,20,14,20
2021.10.17.00,9,8,18,17,10,18,19,20,11,13,18,28,16,9,9,22,54,17,32,21,19,6,29,18,29
2021.10.16.00,21,11,11,15,10,20,18,31,17,8,22,31,18,10,6,11,76,23,36,22,36,9,36,31,29
2021.10.15.00,25,8,19,15,25,44,28,30,26,16,22,33,25,20,8,15,84,33,31,20,24,10,33,29,26
2021.10.14.00,21,8,19,8,23,30,25,27,22,22,38,41,11,22,16,19,73,38,53,26,37,11,42,35,35
2021.10.13.00,14,9,19,12,12,32,25,29,16,10,26,27,16,25,9,24,59,17,29,13,23,15,37,30,24
2021.10.12.00,12,5,22,11,18,19,17,24,31,7,19,15,14,12,17,23,35,11,17,20,15,9,48,19,15
2021.10.11.00,11,9,10,15,24,25,17,21,15,19,34,19,8,11,13,16,51,28,25,14,20,13,27,24,20
